Tempo,Vazao
1074,1805.47
1075,1807.15
1076,1805.8
1077,1804.44
1078,1803.1
1079,1804.77
1080,1803.43
1081,1805.1
1082,1803.76
1083,1805.43
1084,1807.1
1085,1805.75
1086,1807.42
1087,1809.08
1088,1807.73
1089,1809.39
1090,1808.05
1091,1809.71
1092,1808.36
1093,1810.01
1094,1808.69
1095,1810.34
1096,1809
1097,1810.65
1098,1812.3
1099,1810.96
1100,1812.61
1101,1811.27
1102,1812.92
1103,1811.59
1104,1813.23
1105,1811.89
1106,1813.53
1107,1815.17
1108,1813.83
1109,1815.47
1110,1814.14
1111,1815.77
1112,1814.43
1113,1816.06
1114,1814.69
1115,1813.42
1116,1815.04
1117,1813.72
1118,1815.34
1119,1816.96
1120,1815.64
1121,1817.26
1122,1815.94
1123,1817.56
1124,1816.23
1125,1817.84
1126,1816.54
1127,1818.15
1128,1816.83
1129,1818.44
1130,1820.05
1131,1818.73
1132,1820.33
1133,1819.02
1134,1820.62
1135,1819.31
1136,1820.91
1137,1819.6
1138,1821.2
1139,1819.89
1140,1821.48
1141,1823.08
1142,1821.77
1143,1823.37
1144,1822.05
1145,1823.64
1146,1822.33
1147,1821.02
1148,1822.61
1149,1821.31
1150,1822.89
1151,1821.6
1152,1820.29
1153,1819
1154,1820.58
1155,1819.29
1156,1820.86
1157,1822.44
1158,1821.14
1159,1822.72
1160,1821.43
1161,1822.99
1162,1821.71
1163,1823.28
1164,1821.98
1165,1823.55
1166,1822.27
1167,1823.83
1168,1825.39
1169,1824.1
1170,1825.66
1171,1824.38
1172,1825.93
1173,1824.64
1174,1826.2
1175,1824.91
1176,1826.46
1177,1825.19
1178,1826.73
1179,1825.46
1180,1827.01
1181,1825.73
1182,1827.27
1183,1825.81
1184,1824.54
1185,1826.08
1186,1827.62
1187,1826.35
1188,1827.89
1189,1826.62
1190,1828.15
1191,1826.88
1192,1828.42
1193,1827.15
1194,1828.68
1195,1827.41
1196,1828.94
1197,1830.47
1198,1829.2
1199,1830.73
1200,1829.46
1201,1830.99
1202,1829.72
1203,1831.24
1204,1829.98
1205,1831.5
1206,1830.23
1207,1831.75
1208,1830.49
1209,1832.01
1210,1830.75
1211,1832.26
1212,1831
1213,1829.75
1214,1828.49
1215,1827.25
1216,1828.75
1217,1827.51
1218,1829.01
1219,1827.77
1220,1829.27
1221,1828.03
1222,1829.53
1223,1828.29
1224,1829.78
1225,1831.28
1226,1830.03
1227,1828.8
1228,1830.29
1229,1831.78
1230,1833.27
1231,1832.03
1232,1833.52
1233,1832.28
1234,1833.76
1235,1832.53
1236,1834.01
1237,1832.78
1238,1834.26
1239,1833.02
1240,1834.5
1241,1833.27
1242,1834.75
1243,1833.51
1244,1834.99
1245,1833.72
1246,1832.48
1247,1831.25
1248,1830.04
1249,1831.5
1250,1830.27
1251,1829.07
1252,1830.53
1253,1829.33
1254,1830.79
1255,1832.24
1256,1831.03
1257,1832.49
1258,1831.28
1259,1832.73
1260,1831.2
1261,1832.66
1262,1834.11
1263,1832.9
1264,1834.35
1265,1833.14
1266,1834.58
1267,1833.38
1268,1834.83
1269,1833.62
1270,1835.06
1271,1833.86
1272,1835.3
1273,1834.1
1274,1835.54
1275,1836.98
1276,1834.93
1277,1833.72
1278,1835.15
1279,1833.04
1280,1831.08
1281,1832.51
1282,1831.29
1283,1832.71
1284,1831.54
1285,1832.96
1286,1831.78
1287,1833.2
1288,1832.02
1289,1833.44
1290,1832.26
1291,1833.68
1292,1835.1
1293,1833.92
1294,1835.33
1295,1834.15
1296,1835.57
1297,1834.39
1298,1835.8
1299,1834.31
1300,1835.72
1301,1834.54
1302,1835.95
1303,1837.36
1304,1836.19
1305,1837.59
1306,1836.41
1307,1837.82
1308,1836.4
1309,1835.2
1310,1834.03
1311,1832.88
1312,1834.27
1313,1833.11
1314,1834.5
1315,1833.32
1316,1834.71
1317,1833.57
1318,1834.96
1319,1833.81
1320,1835.2
1321,1834.03
1322,1835.42
1323,1834.26
1324,1835.65
1325,1834.49
1326,1835.87
1327,1837.26
1328,1836.1
1329,1837.49
1330,1836.33
1331,1837.71
1332,1836.56
1333,1837.94
1334,1839.32
1335,1838.16
1336,1839.54
1337,1838.38
1338,1839.75
1339,1838.27
1340,1839.64
1341,1838.49
1342,1837.33
1343,1836.2
1344,1837.57
1345,1836.42
1346,1837.78
1347,1836.64
1348,1838.01
1349,1836.85
1350,1835.73
1351,1837.09
1352,1835.96
1353,1837.32
1354,1836.18
1355,1837.54
1356,1836.4
1357,1837.76
1358,1839.11
1359,1837.97
1360,1839.32
1361,1838.19
1362,1839.54
1363,1838.41
1364,1839.76
1365,1838.63
1366,1839.98
1367,1838.84
1368,1840.19
1369,1841.53
1370,1840.4
1371,1839.27
1372,1840.61
1373,1839.49
1374,1840.83
1375,1839.69
1376,1838.66
1377,1839.99
1378,1841.33
1379,1840.19
1380,1841.52
1381,1840.41
1382,1841.74
1383,1840.62
1384,1841.95
1385,1843.28
1386,1841.17
1387,1842.49
1388,1841.35
1389,1840.24
1390,1841.56
1391,1840.45
1392,1841.77
1393,1835.82
1394,1837.14
1395,1836.04
1396,1837.35
1397,1836.25
1398,1837.57
1399,1836.46
1400,1835.37
1401,1836.68
1402,1835.58
1403,1836.89
1404,1835.8
1405,1837.11
1406,1836.01
1407,1837.32
1408,1836.23
1409,1837.53
1410,1836.1
1411,1837.4
1412,1836.29
1413,1835.18
1414,1836.48
1415,1837.78
1416,1836.7
1417,1838
1418,1836.94
1419,1838.23
1420,1837.15
1421,1838.44
1422,1837.36
1423,1838.65
1424,1837.57
1425,1838.86
1426,1837.78
1427,1839.06
1428,1840.35
1429,1839.27
1430,1840.56
1431,1839.47
1432,1840.76
1433,1839.51
1434,1838.41
1435,1837.33
1436,1838.6
1437,1839.88
1438,1838.83
1439,1840.11
1440,1839.03
1441,1840.31
1442,1839.24
1443,1838.17
1444,1837.1
1445,1838.37
1446,1837.3
1447,1838.57
1448,1836.92
1449,1838.19
1450,1839.46
1451,1838.38
1452,1839.64
1453,1838.58
1454,1839.85
1455,1838.79
1456,1840.05
1457,1841.31
1458,1840.25
1459,1841.52
1460,1840.46
1461,1841.72
1462,1840.66
1463,1841.91
1464,1840.85
1465,1839.8
1466,1841.05
1467,1840
1468,1841.25
1469,1840.2
1470,1841.45
1471,1840.4
1472,1839.34
1473,1840.59
1474,1839.55
1475,1840.79
1476,1842.04
1477,1841
1478,1842.24
1479,1841.19
1480,1840.12
1481,1839.1
1482,1840.34
1483,1839.3
1484,1840.54
1485,1839.5
1486,1840.73
1487,1839.7
1488,1840.93
1489,1839.9
1490,1841.14
1491,1840.1
1492,1841.33
1493,1839.24
1494,1840.48
1495,1839.42
1496,1838.39
1497,1839.62
1498,1838.59
1499,1837.56
1500,1838.79
1501,1840.01
1502,1838.99
1503,1840.21
1504,1839.19
1505,1840.41
1506,1839.38
1507,1840.6
1508,1839.58
1509,1838.54
1510,1839.76
1511,1838.75
1512,1839.96
1513,1838.95
1514,1840.16
1515,1839.15
1516,1840.36
1517,1841.57
1518,1840.55
1519,1841.77
1520,1840.75
1521,1841.96
